customer_id,company_name,signup_date,plan_tier,contract_type,mrr,tenure_months,active_users,login_frequency_30d,login_decay_rate,feature_adoption_score,support_tickets_90d,avg_ticket_res_hrs,payment_failures_12m,nps_score,churn_status
CUST-10030,Titan Analytics,2026-05-02,Pro,Monthly,209.37,2,12,257,0.066,82.7,0,4.4,0,3,0
CUST-10031,Data Flow,2022-07-03,Basic,Monthly,49.64,48,4,99,-0.02,41.9,4,43.4,0,3,0
CUST-10032,Vertex Labs,2024-12-01,Basic,Monthly,51.61,19,4,76,0.03,65.4,4,41.1,0,5,0
CUST-10033,Pulse Stack,2022-07-03,Enterprise,Annual,1027.71,48,54,1270,-0.596,84.8,2,32.2,0,0,0
CUST-10034,Omni Tech,2026-04-01,Enterprise,Annual,1074.86,3,78,1928,-0.006,71.4,0,40.1,3,8,0
CUST-10035,Pulse Dynamics,2024-08-01,Pro,Annual,242.2,23,11,99,0.5,86.4,1,1.0,0,3,0
CUST-10036,Hyper AI,2025-07-02,Basic,Monthly,53.18,12,4,26,-0.22,21.3,1,1.1,0,4,0
CUST-10037,Sync Cloud,2022-08-03,Basic,Monthly,41.29,47,3,82,0.074,56.1,4,84.1,3,5,1
CUST-10038,Titan Systems,2025-07-02,Pro,Annual,239.67,12,10,351,-0.705,58.1,3,16.2,3,3,0
CUST-10039,Titan Solutions,2025-10-01,Basic,Monthly,61.06,9,3,71,-0.097,100.0,4,6.8,1,10,0
CUST-10040,Data Digital,2022-07-03,Basic,Monthly,72.17,48,3,93,-0.279,96.7,4,2.4,0,4,0
CUST-10041,Sync Flow,2025-06-01,Basic,Monthly,40.74,13,2,36,-0.399,62.0,1,19.9,3,5,1
CUST-10042,Vertex Analytics,2026-05-02,Basic,Monthly,50.79,2,2,66,-0.126,52.3,4,8.5,0,4,0
CUST-10043,Cloud Global,2025-05-02,Enterprise,Multi-Year,687.0,14,69,1516,-0.764,86.6,4,24.2,0,6,0
CUST-10044,Pulse Systems,2024-03-02,Basic,Monthly,53.07,28,2,48,-0.057,52.3,3,28.4,0,7,0
CUST-10045,Strata AI,2025-10-01,Pro,Annual,182.64,9,8,214,0.5,60.9,2,14.0,0,8,0
CUST-10046,Sync Software,2025-04-01,Basic,Monthly,63.14,15,5,152,-0.338,58.4,1,25.2,1,10,0
CUST-10047,Flux HQ,2026-04-01,Pro,Annual,175.88,3,16,410,0.11,55.5,5,90.6,1,3,1
CUST-10048,Vanguard Dynamics,2024-08-01,Pro,Annual,148.58,23,16,492,-0.49,65.4,4,6.1,0,7,0
CUST-10049,Nexus HQ,2023-07-03,Basic,Monthly,45.54,36,4,119,-0.24,62.8,5,36.1,0,6,0
CUST-10050,Nexus Stack,2025-04-01,Enterprise,Multi-Year,702.97,15,47,985,-0.121,58.5,5,25.6,1,6,0
CUST-10051,Vanguard AI,2025-04-01,Pro,Monthly,221.42,15,6,154,-0.179,72.2,2,59.1,0,8,0
CUST-10052,Sync Tech,2026-03-02,Enterprise,Multi-Year,689.55,4,67,2206,0.234,64.2,3,53.9,0,6,0
CUST-10053,Data Software,2025-12-01,Enterprise,Annual,1003.26,7,33,965,-0.448,92.1,6,48.0,0,6,0
CUST-10054,Zentis Software,2025-12-31,Pro,Annual,136.98,6,10,214,0.421,25.1,4,12.5,0,4,0
CUST-10055,Vanguard HQ,2024-12-31,Enterprise,Annual,951.0,18,68,659,-0.362,54.6,5,14.3,1,2,1
CUST-10056,Aura AI,2024-10-31,Basic,Monthly,61.08,20,2,84,0.122,65.6,5,10.3,0,6,0
CUST-10057,Strata Systems,2022-07-03,Basic,Monthly,51.65,48,5,99,0.353,91.1,1,16.2,0,6,0
CUST-10058,Sync Systems,2026-04-01,Basic,Monthly,42.65,3,3,57,-0.047,65.4,2,19.4,0,10,0
CUST-10059,Pulse Flow,2024-07-02,Basic,Monthly,48.77,24,4,148,-0.223,55.9,2,35.6,0,6,0
CUST-10060,Flux Global,2024-10-31,Basic,Monthly,49.13,20,4,93,-0.461,68.9,4,10.5,0,9,0
CUST-10061,Sync Flow,2024-12-01,Basic,Monthly,52.47,19,4,124,-0.272,49.1,2,45.0,0,4,0
CUST-10062,Zentis AI,2022-07-03,Pro,Monthly,158.2,48,6,41,-0.201,80.5,4,21.5,0,6,0
CUST-10063,Zentis AI,2025-12-01,Basic,Monthly,53.36,7,4,11,0.025,52.1,4,27.9,0,10,0
CUST-10064,Titan HQ,2026-04-01,Basic,Monthly,29.12,3,3,56,-0.139,44.4,1,23.3,0,8,0
CUST-10065,Quantum Global,2024-02-01,Pro,Annual,180.2,29,11,384,-0.153,53.3,3,67.9,1,8,0
CUST-10066,Aura Tech,2025-07-02,Basic,Annual,45.41,12,2,49,-0.786,60.4,2,10.4,0,4,1
CUST-10067,Nexus Dynamics,2026-05-02,Pro,Monthly,217.9,2,9,249,-0.38,60.4,1,39.0,3,8,1
CUST-10068,Hyper Systems,2025-10-01,Basic,Monthly,49.17,9,1,16,0.304,71.1,4,130.8,0,8,0
CUST-10069,Cloud Stack,2025-08-01,Enterprise,Annual,788.38,11,69,2714,-0.116,38.7,2,60.3,0,6,0
CUST-10070,Cyber Analytics,2024-06-01,Pro,Annual,169.6,25,7,151,-0.613,67.8,2,33.2,0,5,0
CUST-10071,Vertex AI,2025-12-31,Basic,Monthly,50.46,6,2,45,-0.029,59.2,4,12.5,2,8,1
CUST-10072,Aero Analytics,2025-04-01,Basic,Monthly,48.42,15,1,30,-0.238,45.5,1,23.6,0,10,0
CUST-10073,Strata Global,2024-12-31,Pro,Monthly,181.71,18,6,127,-0.126,70.2,1,7.2,0,9,0
CUST-10074,Sync Global,2025-01-31,Pro,Annual,184.65,17,3,134,-0.306,50.9,3,29.6,0,3,0
CUST-10075,Apex Digital,2022-07-03,Pro,Annual,219.78,48,17,477,0.026,69.3,1,9.8,0,1,0
CUST-10076,Hyper Digital,2026-04-01,Pro,Monthly,183.55,3,15,394,0.042,50.2,4,19.2,1,10,0
CUST-10077,Flux Stack,2022-07-03,Basic,Monthly,48.35,48,4,79,0.282,65.8,3,26.5,0,5,0
CUST-10078,Sync Stack,2024-08-01,Basic,Monthly,64.95,23,4,112,-0.367,56.0,6,128.7,0,10,1
CUST-10079,Vanguard Tech,2023-03-03,Basic,Monthly,38.54,40,1,31,-0.137,88.9,5,40.7,0,6,0
CUST-10080,Omni AI,2025-04-01,Enterprise,Multi-Year,721.5,15,52,974,-0.338,74.4,5,9.4,1,4,0
CUST-10081,Cloud Cloud,2025-03-02,Pro,Monthly,222.39,16,19,318,0.006,67.6,3,5.0,0,6,0
CUST-10082,Apex Flow,2022-07-03,Basic,Annual,44.01,48,4,156,0.482,85.0,1,50.7,1,5,0
CUST-10083,Sync Global,2022-07-03,Basic,Monthly,46.66,48,1,21,0.174,40.9,2,3.3,0,1,0
CUST-10084,Cloud Global,2025-10-31,Basic,Monthly,43.26,8,4,70,-0.218,66.6,1,96.8,0,10,0
CUST-10085,Hyper Dynamics,2025-12-01,Basic,Monthly,47.09,7,3,75,-0.02,51.4,1,47.4,0,10,0
CUST-10086,Omni Dynamics,2024-12-31,Pro,Annual,246.72,18,16,379,0.001,67.2,1,45.8,1,1,0
CUST-10087,Nova Analytics,2022-07-03,Pro,Monthly,222.94,48,5,95,-0.237,33.6,1,1.0,0,8,0
CUST-10088,Data Systems,2025-08-01,Enterprise,Annual,1128.2,11,26,614,-0.815,56.4,1,82.3,0,2,1
CUST-10089,Titan Stack,2024-04-02,Basic,Monthly,38.59,27,3,47,-0.307,75.8,1,34.5,0,10,0
CUST-10090,Cloud Global,2023-11-02,Basic,Monthly,40.54,32,3,94,0.094,100.0,0,61.8,0,7,0
CUST-10091,Nova Software,2023-05-03,Pro,Monthly,114.25,38,9,215,0.5,66.9,1,7.3,0,2,0
CUST-10092,Apex Analytics,2024-09-01,Pro,Monthly,174.84,22,13,364,-0.008,80.9,4,4.2,0,5,0
CUST-10093,Vanguard Cloud,2025-05-02,Pro,Monthly,227.56,14,5,161,-0.176,70.3,7,73.1,0,10,0
CUST-10094,Apex Tech,2022-07-03,Pro,Annual,214.43,48,16,212,0.349,68.0,4,12.4,0,8,0
CUST-10095,Titan Software,2024-06-01,Basic,Monthly,47.37,25,1,34,-0.209,61.8,7,30.3,0,6,0
CUST-10096,Omni HQ,2023-10-02,Pro,Annual,198.33,33,14,381,-0.304,20.7,1,47.1,0,10,0
CUST-10097,Nexus HQ,2025-07-02,Basic,Monthly,43.94,12,4,76,0.071,49.3,5,33.9,0,2,0
CUST-10098,Zentis Tech,2024-02-01,Basic,Monthly,50.5,29,2,72,-0.168,48.1,2,23.7,0,9,0
CUST-10099,Vertex Flow,2025-10-01,Basic,Monthly,54.63,9,4,106,-0.424,63.3,5,44.9,0,8,1
CUST-10100,Aura Dynamics,2025-10-31,Basic,Annual,37.12,8,4,91,-0.103,75.1,3,29.9,0,8,0
CUST-10101,Vertex Stack,2023-11-02,Pro,Annual,207.94,32,15,364,-0.123,26.0,6,1.0,0,1,0
CUST-10102,Flux Stack,2024-10-31,Basic,Annual,55.85,20,1,21,-0.072,67.4,2,9.0,0,10,0
CUST-10103,Quantum Systems,2024-01-01,Pro,Monthly,186.61,30,1,35,0.056,62.6,3,5.8,3,6,1
CUST-10104,Aura Global,2025-10-01,Enterprise,Annual,1104.0,9,47,1127,-0.506,58.8,1,51.7,1,8,0
CUST-10105,Cloud Networks,2024-07-02,Basic,Monthly,69.69,24,5,156,-0.282,68.1,4,27.3,1,6,0
CUST-10106,Nova Dynamics,2025-03-02,Basic,Monthly,48.23,16,3,70,0.054,52.6,2,9.7,2,5,0
CUST-10107,Orion AI,2024-07-02,Pro,Monthly,210.74,24,11,264,-0.296,29.5,1,42.8,1,9,0
CUST-10108,Data Software,2025-08-31,Basic,Monthly,43.58,10,1,10,-0.245,68.7,1,13.3,0,4,0
CUST-10109,Flux Stack,2023-11-02,Basic,Monthly,50.33,32,5,118,-0.278,85.7,1,5.2,0,6,0
CUST-10110,Data Flow,2023-01-02,Basic,Annual,52.38,42,2,31,-0.077,67.8,6,9.4,3,5,1
CUST-10111,Omni AI,2025-10-01,Basic,Monthly,50.43,9,4,31,0.297,11.2,4,38.1,0,6,0
CUST-10112,Titan Cloud,2025-08-31,Enterprise,Multi-Year,846.2,10,58,1317,-0.468,55.4,2,129.4,1,7,1
CUST-10113,Nova Cloud,2024-03-02,Pro,Annual,205.16,28,14,317,0.111,81.8,4,4.8,0,9,0
CUST-10114,Hyper HQ,2023-12-02,Pro,Monthly,242.65,31,13,157,-0.308,41.3,1,19.5,0,1,0
CUST-10115,Pulse Tech,2023-12-02,Enterprise,Multi-Year,1066.23,31,53,1636,0.072,45.5,1,13.9,0,6,0
CUST-10116,Vanguard Labs,2024-01-01,Pro,Annual,227.72,30,5,111,-0.43,64.5,0,44.7,0,7,1
CUST-10117,Zentis Global,2025-05-02,Basic,Monthly,47.26,14,1,19,0.5,80.9,2,32.4,2,6,0
CUST-10118,Pulse Analytics,2025-05-02,Enterprise,Annual,1111.37,14,50,1377,0.015,64.3,4,1.0,0,2,0
CUST-10119,Pulse Labs,2025-10-01,Pro,Annual,207.34,9,3,90,-0.131,81.1,5,2.4,0,5,0
CUST-10120,Vertex Flow,2025-12-31,Pro,Monthly,170.62,6,10,182,0.137,30.6,6,41.2,2,6,0
CUST-10121,Nexus HQ,2024-01-01,Enterprise,Annual,1046.73,30,44,820,0.175,100.0,4,35.0,0,7,0
CUST-10122,Vertex Software,2026-03-02,Basic,Monthly,41.71,4,1,8,-0.192,100.0,3,25.7,0,5,0
CUST-10123,Nexus Dynamics,2022-07-03,Basic,Annual,44.35,48,3,75,0.08,49.9,4,2.2,0,8,0
CUST-10124,Vanguard Tech,2022-11-02,Basic,Annual,50.39,44,1,26,0.239,69.9,3,11.7,0,8,0
CUST-10125,Nova HQ,2022-07-03,Basic,Monthly,51.18,48,1,33,-0.258,33.2,2,4.1,0,8,0
CUST-10126,Sync Digital,2022-07-03,Pro,Monthly,163.5,48,9,192,0.356,66.1,2,12.6,0,9,0
CUST-10127,Aura HQ,2025-05-02,Enterprise,Multi-Year,1156.94,14,61,1880,0.282,66.2,9,28.5,0,5,0
CUST-10128,Flux Systems,2022-08-03,Basic,Monthly,53.2,47,2,53,-0.446,81.7,3,1.0,0,7,0
CUST-10129,Zentis Analytics,2025-12-31,Pro,Annual,177.96,6,8,236,-0.245,76.5,1,11.5,0,6,0
CUST-10130,Aura HQ,2026-05-02,Basic,Monthly,37.7,2,2,69,0.172,95.7,6,7.9,0,3,0
CUST-10131,Aura Stack,2023-04-03,Basic,Monthly,47.93,39,2,81,-0.094,100.0,1,61.6,0,6,0
CUST-10132,Cyber HQ,2026-04-01,Basic,Annual,45.72,3,2,51,-0.557,40.4,3,43.4,0,5,0
CUST-10133,Hyper Tech,2022-07-03,Basic,Monthly,49.83,48,1,21,0.218,100.0,2,5.3,0,8,0
CUST-10134,Cyber Solutions,2024-02-01,Enterprise,Annual,944.59,29,42,883,-0.03,58.5,2,2.5,1,3,0
CUST-10135,Cyber AI,2023-07-03,Basic,Monthly,34.25,36,3,94,-0.733,94.7,8,2.4,1,8,0
CUST-10136,Strata Dynamics,2025-10-31,Pro,Annual,187.41,8,16,336,0.024,42.3,0,2.6,0,7,0
CUST-10137,Nexus Digital,2024-02-01,Pro,Annual,189.88,29,14,352,-0.533,47.1,2,7.7,2,4,1
CUST-10138,Hyper Labs,2026-04-01,Basic,Monthly,53.66,3,4,92,-0.076,65.5,2,6.4,1,3,0
CUST-10139,Aero Flow,2022-09-02,Enterprise,Annual,894.37,46,40,1371,0.154,51.7,3,23.9,0,5,0
CUST-10140,Vanguard Stack,2025-12-31,Enterprise,Annual,1250.55,6,39,779,-0.276,50.1,1,30.5,1,4,1
CUST-10141,Hyper HQ,2023-12-02,Basic,Monthly,34.95,31,3,87,-0.343,63.1,3,58.5,0,9,0
CUST-10142,Data HQ,2025-10-31,Basic,Monthly,58.64,8,3,36,-0.306,69.3,3,2.9,0,1,0
CUST-10143,Flux Cloud,2026-04-01,Basic,Monthly,47.35,3,3,57,-0.028,63.3,1,3.4,0,3,0
CUST-10144,Quantum AI,2024-12-31,Basic,Monthly,55.32,18,1,11,-0.081,95.1,6,65.5,0,4,0
CUST-10145,Cloud Networks,2025-12-31,Basic,Monthly,49.59,6,3,45,-0.579,61.1,1,13.7,2,9,1
CUST-10146,Strata HQ,2023-09-02,Pro,Monthly,233.02,34,18,350,-0.617,12.0,3,11.1,0,7,1
CUST-10147,Vertex Cloud,2025-10-31,Pro,Annual,187.44,8,14,239,0.299,53.7,3,16.9,0,5,0
CUST-10148,Flux Tech,2025-07-02,Basic,Monthly,40.93,12,4,139,-0.262,87.5,1,1.0,0,6,0
CUST-10149,Nexus Digital,2024-09-01,Basic,Monthly,59.44,22,2,61,-0.005,49.2,1,77.9,0,8,0
CUST-10150,Flux Dynamics,2025-08-31,Enterprise,Multi-Year,981.99,10,50,1054,0.157,55.1,2,49.1,1,3,0
CUST-10151,Apex Tech,2025-06-01,Basic,Monthly,50.63,13,3,80,-0.099,89.3,5,14.4,0,8,0
CUST-10152,Pulse Systems,2022-12-02,Basic,Monthly,58.08,43,4,76,0.176,74.9,4,32.6,0,8,0
CUST-10153,Cyber Cloud,2025-12-31,Basic,Monthly,41.42,6,4,79,0.175,34.5,4,4.3,0,9,0
CUST-10154,Aura HQ,2026-03-02,Enterprise,Annual,1088.23,4,60,1610,0.39,53.4,1,5.8,0,5,0
CUST-10155,Aero Software,2025-08-01,Basic,Monthly,44.66,11,1,29,0.334,64.9,5,51.4,0,5,0
CUST-10156,Nexus Systems,2025-04-01,Pro,Monthly,195.05,15,8,219,0.073,26.2,2,22.5,0,2,0
CUST-10157,Aero Labs,2024-10-01,Pro,Annual,201.16,21,8,183,-0.135,47.9,1,19.6,0,6,0
CUST-10158,Aero Networks,2025-06-01,Basic,Monthly,37.97,13,1,23,-0.248,82.4,5,15.4,2,8,0
CUST-10159,Strata Networks,2023-03-03,Pro,Monthly,175.75,40,13,304,-0.451,54.0,3,1.7,1,8,1
CUST-10160,Cyber Flow,2026-05-02,Basic,Monthly,58.93,2,3,50,-0.449,56.5,2,4.8,0,6,0
CUST-10161,Flux Digital,2025-04-01,Pro,Annual,225.45,15,16,396,-0.267,52.0,1,30.2,0,7,0
CUST-10162,Aura Systems,2025-06-01,Pro,Monthly,197.13,13,5,130,-0.028,58.5,3,13.9,2,9,0
CUST-10163,Data Networks,2024-04-02,Pro,Monthly,206.26,27,11,304,-0.523,100.0,0,6.4,0,6,0
CUST-10164,Data Labs,2022-07-03,Basic,Monthly,46.84,48,2,40,-0.305,100.0,3,1.3,0,9,0
CUST-10165,Zentis Flow,2024-12-01,Pro,Monthly,239.49,19,17,166,0.053,31.2,2,4.7,1,10,0
CUST-10166,Flux Labs,2022-07-03,Basic,Monthly,47.53,48,4,142,-0.587,28.6,7,15.8,0,9,1
CUST-10167,Vanguard Labs,2025-08-31,Basic,Monthly,50.7,10,3,88,0.104,50.7,2,10.0,0,4,0
CUST-10168,Nexus Analytics,2026-05-02,Basic,Annual,57.42,2,1,20,0.0,89.2,1,1.0,0,8,0
CUST-10169,Aura Global,2025-12-31,Pro,Monthly,175.8,6,8,200,-0.416,61.8,1,41.5,0,6,0
CUST-10170,Nova Systems,2025-05-02,Pro,Monthly,245.53,14,5,116,-0.293,79.1,4,11.7,0,6,0
CUST-10171,Nexus Global,2025-08-01,Basic,Monthly,37.75,11,1,48,0.216,61.6,3,22.8,0,10,0
CUST-10172,Vertex Dynamics,2026-03-02,Pro,Annual,247.64,4,14,306,-0.037,78.3,6,12.1,1,7,0
CUST-10173,Cloud Tech,2025-04-01,Basic,Monthly,46.26,15,3,72,-0.263,57.0,3,11.9,0,6,0
CUST-10174,Orion Tech,2025-07-02,Pro,Monthly,191.76,12,10,173,-0.028,48.2,8,4.4,0,9,0
CUST-10175,Pulse AI,2026-01-30,Basic,Monthly,35.11,5,1,19,0.118,74.9,1,5.0,0,8,0
CUST-10176,Hyper Software,2025-08-31,Pro,Monthly,185.42,10,12,263,0.169,53.9,4,10.3,1,5,1
CUST-10177,Zentis HQ,2022-07-03,Basic,Annual,41.36,48,2,71,-0.158,61.7,3,12.8,0,5,0
CUST-10178,Zentis Analytics,2025-08-31,Enterprise,Annual,907.94,10,56,1937,0.112,72.2,4,16.8,1,10,0
CUST-10179,Nexus Analytics,2023-11-02,Basic,Annual,47.99,32,2,50,-0.006,72.7,1,10.1,0,10,0
CUST-10180,Vertex AI,2024-06-01,Basic,Monthly,56.04,25,2,40,0.5,65.7,3,42.8,2,10,0
CUST-10181,Zentis Analytics,2025-04-01,Basic,Monthly,50.53,15,1,9,-0.297,43.0,1,22.5,1,4,0
CUST-10182,Nova Solutions,2025-10-31,Enterprise,Annual,1045.11,8,28,989,0.45,22.5,5,4.0,0,7,0
CUST-10183,Sync HQ,2025-06-01,Enterprise,Multi-Year,834.84,13,77,1535,-0.474,52.7,5,7.7,0,9,0
CUST-10184,Vanguard HQ,2024-08-01,Basic,Annual,42.53,23,3,73,0.119,58.3,3,16.1,0,10,0
CUST-10185,Sync AI,2025-07-02,Pro,Monthly,252.69,12,7,167,-0.326,68.8,2,15.5,0,1,0
CUST-10186,Quantum Digital,2025-12-01,Pro,Monthly,177.05,7,9,133,-0.591,68.0,2,15.1,2,10,0
CUST-10187,Omni Cloud,2026-01-30,Pro,Monthly,248.44,5,15,318,-0.094,88.5,1,54.3,0,10,0
CUST-10188,Vanguard Software,2022-07-03,Pro,Monthly,191.74,48,3,21,0.052,69.9,2,9.5,0,10,0
CUST-10189,Vertex Labs,2025-03-02,Basic,Monthly,49.02,16,1,14,-0.043,100.0,4,4.7,0,2,0
CUST-10190,Strata Analytics,2024-05-02,Basic,Annual,56.87,26,2,47,-0.007,59.4,2,14.1,0,10,0
CUST-10191,Zentis Tech,2024-12-31,Enterprise,Annual,1189.59,18,28,959,-0.065,46.7,3,30.8,3,3,0
CUST-10192,Vertex Global,2022-07-03,Enterprise,Multi-Year,982.39,48,60,1603,-0.52,62.2,0,23.3,0,8,0
CUST-10193,Data Global,2024-10-01,Pro,Annual,187.41,21,16,384,0.007,22.8,2,83.9,3,5,1
CUST-10194,Sync Systems,2024-12-31,Basic,Monthly,48.59,18,1,31,-0.285,40.0,0,14.2,0,4,0
CUST-10195,Titan Software,2022-07-03,Basic,Monthly,51.48,48,5,128,-0.471,93.8,4,62.3,0,6,0
CUST-10196,Vertex Software,2023-10-02,Pro,Annual,225.61,33,12,286,0.5,45.3,4,2.3,0,5,0
CUST-10197,Pulse Solutions,2026-03-02,Enterprise,Multi-Year,999.63,4,33,705,0.126,16.2,1,11.5,1,10,0
CUST-10198,Omni Systems,2025-12-31,Enterprise,Annual,1091.74,6,29,342,0.115,76.7,6,7.9,0,6,0
CUST-10199,Strata Dynamics,2023-04-03,Pro,Monthly,247.91,39,10,251,0.117,51.9,2,3.4,0,7,0
CUST-10200,Flux Flow,2022-09-02,Pro,Monthly,210.38,46,11,247,-0.294,42.9,5,8.8,0,10,0
CUST-10201,Omni Analytics,2024-10-01,Basic,Monthly,51.29,21,1,30,-0.366,46.9,4,5.9,3,1,1
CUST-10202,Nova Labs,2024-10-01,Basic,Monthly,37.84,21,2,79,-0.047,33.2,2,28.0,0,5,1
CUST-10203,Flux Networks,2024-05-02,Enterprise,Multi-Year,604.79,26,59,2124,-0.166,27.5,3,28.5,0,9,0
CUST-10204,Hyper Software,2025-03-02,Pro,Monthly,210.59,16,10,174,-0.227,30.7,3,64.4,0,9,0
CUST-10205,Quantum Networks,2024-02-01,Basic,Annual,48.3,29,1,20,0.257,71.2,1,38.6,1,7,0
CUST-10206,Hyper Software,2026-03-02,Basic,Monthly,45.22,4,4,120,-0.094,67.8,1,1.0,0,2,0
CUST-10207,Hyper Flow,2022-07-03,Pro,Annual,206.27,48,15,473,0.072,79.5,2,8.5,0,6,0
CUST-10208,Flux Systems,2023-08-02,Basic,Annual,48.56,35,4,77,-0.219,81.2,2,147.8,0,8,0
CUST-10209,Sync Networks,2024-05-02,Basic,Monthly,57.29,26,5,140,-0.236,43.5,1,6.7,0,5,0
CUST-10210,Orion HQ,2025-08-01,Pro,Annual,201.57,11,13,359,0.396,50.5,4,21.2,0,9,0
CUST-10211,Vanguard HQ,2025-12-31,Pro,Monthly,176.7,6,10,173,-0.179,23.4,4,10.8,0,10,0
CUST-10212,Sync Global,2025-05-02,Pro,Monthly,228.56,14,15,579,-0.127,51.4,2,18.8,0,5,0
CUST-10213,Aura Networks,2024-03-02,Basic,Annual,47.4,28,1,18,-0.235,100.0,3,11.1,1,10,0
CUST-10214,Nexus Tech,2024-05-02,Pro,Annual,214.72,26,3,78,-0.316,42.2,2,7.6,0,8,0
CUST-10215,Cyber Dynamics,2025-06-01,Basic,Monthly,45.49,13,1,11,-0.266,79.0,2,1.0,1,5,0
CUST-10216,Sync Labs,2024-06-01,Basic,Monthly,44.22,25,5,130,0.079,66.0,4,15.3,0,8,0
CUST-10217,Apex Solutions,2022-12-02,Pro,Annual,201.51,43,7,291,-0.302,51.5,3,1.0,0,2,0
CUST-10218,Quantum Digital,2026-05-02,Pro,Annual,199.38,2,4,105,-0.435,79.6,5,9.4,0,4,0
CUST-10219,Sync Systems,2025-03-02,Pro,Monthly,213.32,16,14,188,-0.304,25.3,2,4.8,2,9,1
CUST-10220,Strata Global,2023-07-03,Pro,Annual,190.98,36,4,59,0.1,32.0,2,55.2,3,10,0
CUST-10221,Cyber Global,2024-10-01,Pro,Monthly,144.18,21,7,60,-0.23,58.2,1,19.2,1,4,1
CUST-10222,Apex Tech,2024-04-02,Basic,Monthly,45.82,27,2,39,-0.289,78.3,2,45.6,0,8,0
CUST-10223,Vertex Software,2024-12-01,Basic,Monthly,54.83,19,1,22,-0.389,63.2,1,14.6,2,5,1
